9.8,1,1,2024
9.7467,2,2,2024
9.7,3,3,2024
9.6417,4,4,2024
9.64,5,5,2024
9.502,6,6,2024
9.4333,7,7,2024
9.3714,8,8,2024
9.32,9,10,2024
9.3,11,11,2024
9.29,12,12,2024
9.27,13,13,2024
9.2667,14,14,2024
9.26,15,15,2024
9.25,16,17,2024
9.2,18,18,2024
9.1778,19,19,2024
9.17,20,20,2024
9.1556,21,21,2024
9.15,22,25,2024
9.12,26,26,2024
9.11,27,28,2024
9.1,29,29,2024
9.08,30,32,2024
9.07,33,33,2024
9.06,34,34,2024
9.05,35,37,2024
9.04,38,38,2024
9.02,39,42,2024
9.0164,43,43,2024
9.01,44,45,2024
9.0,46,46,2024
8.9952,47,47,2024
8.99,48,48,2024
8.9813,49,49,2024
8.98,50,55,2024
8.97,56,58,2024
8.96,59,63,2024
8.9573,64,64,2024
8.9413,65,65,2024
8.93,66,67,2024
8.92,68,70,2024
8.91,71,74,2024
8.9,75,77,2024
8.89,78,80,2024
8.8852,81,81,2024
8.88,82,88,2024
8.8778,89,89,2024
8.87,90,92,2024
8.86,93,93,2024
8.85,94,98,2024
8.84,99,100,2024
8.83,101,103,2024
8.8222,104,104,2024
8.82,105,110,2024
8.81,111,117,2024
8.8,118,119,2024
8.79,120,122,2024
8.78,123,124,2024
8.7778,125,125,2024
8.7759,126,126,2024
8.774,127,127,2024
8.77,128,133,2024
8.76,134,139,2024
8.7556,140,140,2024
8.752,141,141,2024
8.75,142,145,2024
8.7412,146,146,2024
8.74,147,153,2024
8.73,154,159,2024
8.725,160,160,2024
8.72,161,164,2024
8.7182,165,165,2024
8.71,166,168,2024
8.7,169,173,2024
8.6938,174,174,2024
8.69,175,177,2024
8.685,178,178,2024
8.68,179,184,2024
8.67,185,188,2024
8.6667,189,189,2024
8.6625,190,190,2024
8.6613,191,191,2024
8.66,192,199,2024
8.65,200,206,2024
8.6444,207,207,2024
8.64,208,213,2024
8.6333,214,215,2024
8.63,216,221,2024
8.625,222,223,2024
8.621,224,224,2024
8.62,225,235,2024
8.61,236,241,2024
8.6053,242,242,2024
8.6045,243,243,2024
8.6,244,249,2024
8.59,250,256,2024
8.5867,257,257,2024
8.58,258,262,2024
8.579,263,263,2024
8.575,264,264,2024
8.57,265,271,2024
8.56,272,276,2024
8.55,277,284,2024
8.54,285,290,2024
8.5333,291,291,2024
8.53,292,301,2024
8.525,302,302,2024
8.5222,303,303,2024
