9.7,1,1,2025
9.64,2,2,2025
9.6,3,3,2025
9.5222,4,4,2025
9.46,5,5,2025
9.4,6,6,2025
9.36,7,7,2025
9.3444,8,8,2025
9.32,9,9,2025
9.29,10,10,2025
9.27,11,11,2025
9.2,12,12,2025
9.1944,13,13,2025
9.19,14,14,2025
9.18,15,15,2025
9.15,16,17,2025
9.1295,18,18,2025
9.104,19,19,2025
9.1,20,21,2025
9.08,22,22,2025
9.07,23,23,2025
9.06,24,24,2025
9.05,25,25,2025
9.04,26,27,2025
9.03,28,30,2025
9.0259,31,31,2025
9.02,32,32,2025
9.01,33,34,2025
9.0,35,37,2025
8.98,38,38,2025
8.97,39,39,2025
8.96,40,42,2025
8.92,43,43,2025
8.91,44,44,2025
8.9063,45,45,2025
8.9,46,46,2025
8.8772,47,47,2025
8.87,48,50,2025
8.86,51,51,2025
8.85,52,52,2025
8.83,53,55,2025
8.82,56,56,2025
8.81,57,57,2025
8.8,58,58,2025
8.79,59,62,2025
8.7889,63,63,2025
8.78,64,64,2025
8.778,65,65,2025
8.7586,66,66,2025
8.7538,67,67,2025
8.75,68,70,2025
8.748,71,71,2025
8.74,72,74,2025
8.7389,75,75,2025
8.7218,76,76,2025
8.72,77,79,2025
8.71,80,80,2025
8.7042,81,81,2025
8.7,82,84,2025
8.69,85,86,2025
8.6882,87,87,2025
8.68,88,88,2025
8.67,89,90,2025
8.66,91,92,2025
8.65,93,96,2025
8.641,97,97,2025
8.64,98,102,2025
8.636,103,103,2025
8.63,104,104,2025
8.62,105,108,2025
8.6133,109,109,2025
8.61,110,112,2025
8.6093,113,113,2025
8.6,114,115,2025
8.5938,116,116,2025
8.593,117,117,2025
8.58,118,119,2025
8.57,120,124,2025
8.568,125,125,2025
8.5657,126,126,2025
8.56,127,127,2025
8.5526,128,128,2025
8.55,129,131,2025
8.5475,132,132,2025
8.54,133,133,2025
8.535,134,134,2025
8.53,135,136,2025
8.5222,137,137,2025
8.52,138,143,2025
8.5111,144,144,2025
8.51,145,149,2025
8.5086,150,150,2025
8.5,151,156,2025
8.4974,157,157,2025
8.49,158,162,2025
8.48,163,169,2025
8.4743,170,170,2025
8.47,171,175,2025
8.4692,176,176,2025
8.461,177,177,2025
8.46,178,181,2025
8.45,182,184,2025
8.4489,185,185,2025
8.44,186,189,2025
8.4375,190,190,2025
8.43,191,196,2025
8.4263,197,197,2025
8.4235,198,198,2025
